Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR960455,2014-11-20 16:12:08,2013-08-30 13:30:39,27426242,2742624200,0,100,1943,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/960/SRR960455/SRR960455.sralite.1,SRX342247,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029367,PRJNA217781,2,217781,SRS475153,SAMN02340011,simple,9606,Homo sapiens,GSM1220262,,,,,,,no,,,,,GEO,SRA099561,,public,726EE626FF371DDC89E9FEA89C7AA833,D52080B337CADBB0F4BD466CA1521DEA
SRR960456,2014-11-20 16:12:08,2013-08-30 13:29:47,25254091,2525409100,0,100,1785,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/960/SRR960456/SRR960456.sralite.1,SRX342247,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029367,PRJNA217781,2,217781,SRS475153,SAMN02340011,simple,9606,Homo sapiens,GSM1220262,,,,,,,no,,,,,GEO,SRA099561,,public,6E2DD91ED0ED3F9D7CD6FB069EBF7AFE,33DA8A7F9D6906978E0B92FE5EA1656C
SRR960457,2014-11-20 16:12:08,2013-08-30 13:38:05,16201883,1620188300,0,100,1149,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/960/SRR960457/SRR960457.sralite.1,SRX342248,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029367,PRJNA217781,2,217781,SRS475154,SAMN02340009,simple,9606,Homo sapiens,GSM1220263,,,,,,,no,,,,,GEO,SRA099561,,public,CBF3AF2B0252977A95FE96C98DD4BB6D,D871839CD9E980B77E063DA97DF60BF4
SRR960458,2014-11-20 16:12:08,2013-08-30 13:30:49,14913403,1491340300,0,100,1055,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/960/SRR960458/SRR960458.sralite.1,SRX342248,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029367,PRJNA217781,2,217781,SRS475154,SAMN02340009,simple,9606,Homo sapiens,GSM1220263,,,,,,,no,,,,,GEO,SRA099561,,public,3E60220E5EFE7C544E64E0B4ACC8C1FE,10FCA80C3EAC3E9833F9E277AC82F444
SRR960459,2014-11-20 16:12:08,2013-08-30 13:32:29,20821112,2082111200,0,100,1477,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/960/SRR960459/SRR960459.sralite.1,SRX342249,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029367,PRJNA217781,2,217781,SRS475156,SAMN02340010,simple,9606,Homo sapiens,GSM1220264,,,,,,,no,,,,,GEO,SRA099561,,public,CEA12E42145BE9627E67984BCA7B3B79,3D31774DCE82604AC2FBD047B27D385B
SRR960460,2014-11-20 16:12:08,2013-08-30 13:28:24,19150729,1915072900,0,100,1356,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/960/SRR960460/SRR960460.sralite.1,SRX342249,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029367,PRJNA217781,2,217781,SRS475156,SAMN02340010,simple,9606,Homo sapiens,GSM1220264,,,,,,,no,,,,,GEO,SRA099561,,public,EF27EA9985F7DC36321B04D4527542E4,83D122D4B43E58CF62A2E35D779BAF2B
SRR960461,2014-11-20 16:12:08,2013-08-30 13:32:07,19322414,1932241400,0,100,1371,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/960/SRR960461/SRR960461.sralite.1,SRX342250,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029367,PRJNA217781,2,217781,SRS475155,SAMN02340016,simple,9606,Homo sapiens,GSM1220265,,,,,,,no,,,,,GEO,SRA099561,,public,787BAFA6A98C51E6A09C079906DC9AFC,97C0B1DE0B8DCFBEE34E2F7DAA132A21
SRR960462,2014-11-20 16:12:08,2013-08-30 13:30:11,17779670,1777967000,0,100,1259,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/960/SRR960462/SRR960462.sralite.1,SRX342250,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029367,PRJNA217781,2,217781,SRS475155,SAMN02340016,simple,9606,Homo sapiens,GSM1220265,,,,,,,no,,,,,GEO,SRA099561,,public,B01A8A21B44685CE44717AEA72E8B00F,6E949685698FAEE9225A19BF89A0EA86
SRR960463,2014-11-20 16:12:08,2013-08-30 13:26:40,10987894,1098789400,0,100,778,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/960/SRR960463/SRR960463.sralite.1,SRX342251,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029367,PRJNA217781,2,217781,SRS475157,SAMN02340013,simple,9606,Homo sapiens,GSM1220266,,,,,,,no,,,,,GEO,SRA099561,,public,8338245C466FF49D8EDE55A0C7FA0217,09B9A2B50C053603B0B91B221911353D
SRR960464,2014-11-20 16:12:08,2013-08-30 13:27:30,10216633,1021663300,0,100,721,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/960/SRR960464/SRR960464.sralite.1,SRX342251,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029367,PRJNA217781,2,217781,SRS475157,SAMN02340013,simple,9606,Homo sapiens,GSM1220266,,,,,,,no,,,,,GEO,SRA099561,,public,1C047075532CBC148F8B84592764D758,D27405062FD889D2C9CE3967820E00CB
